
# ##### Stage C V3 (10_SPEC_stageC §3b): V0's recipe + lambda=1.0 * E||(J-J^T)v||^2.
# ##### rung label 'D2SX160000' a1 is V0's ON PURPOSE (same training seed -> same
# ##### (x0,sigma,eps) stream); the ONLY difference from V0 is the extra loss term.
# ##### CUDA_VISIBLE_DEVICES=2  started 2026-09-21 15:44:02 KST

# ===== 2026-09-21 15:44:05 KST  D2SX160000 attempt 1  testbed D2 prior S2  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=a00951cf75b852a6 E||H||_F^2/(NrNt)=1.000362 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.3062e-02, 8.4516e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 1.0 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch    1 | train 7.946602e-01 | val 8.793970e-01 |  47.503 s | best 8.793970e-01 @1 * | asym_reg 3.120718e-03 | gnorm mean 2.130e+00 max 2.189e+01
epoch   31 | train 1.013847e+00 | val 8.603193e-01 |  59.684 s | best 7.300988e-01 @12 | asym_reg 2.286693e+01 | gnorm mean 1.377e+07 max 6.917e+09
epoch   32 | train 9.044765e-01 | val 8.677398e-01 |  66.211 s | best 7.300988e-01 @12 | asym_reg 5.958577e-01 | gnorm mean 4.053e+05 max 1.514e+08
epoch   33 | train 9.000386e-01 | val 8.560418e-01 |  74.278 s | best 7.300988e-01 @12 | asym_reg 5.475124e-01 | gnorm mean 3.191e+05 max 9.306e+07
epoch   34 | train 8.649511e-01 | val 8.482800e-01 |  67.461 s | best 7.300988e-01 @12 | asym_reg 8.899226e-01 | gnorm mean 1.127e+06 max 4.849e+08
epoch   35 | train 8.292439e-01 | val 8.227726e-01 |  68.390 s | best 7.300988e-01 @12 | asym_reg 7.592340e-02 | gnorm mean 4.322e+05 max 2.389e+08
epoch   36 | train 8.294429e-01 | val 8.042253e-01 |  73.853 s | best 7.300988e-01 @12 | asym_reg 1.568152e+00 | gnorm mean 2.731e+07 max 1.537e+10
epoch   37 | train 8.198112e-01 | val 8.055899e-01 |  71.714 s | best 7.300988e-01 @12 | asym_reg 4.639417e+00 | gnorm mean 1.301e+09 max 7.327e+11
epoch   38 | train 8.112395e-01 | val 7.939813e-01 |  71.217 s | best 7.300988e-01 @12 | asym_reg 5.640496e-02 | gnorm mean 1.116e+07 max 6.282e+09
epoch   39 | train 8.024173e-01 | val 7.856692e-01 |  69.378 s | best 7.300988e-01 @12 | asym_reg 2.715370e-02 | gnorm mean 6.194e+03 max 1.430e+06
epoch   40 | train 7.879333e-01 | val 7.769590e-01 |  72.553 s | best 7.300988e-01 @12 | asym_reg 2.594939e-02 | gnorm mean 4.785e+03 max 1.757e+06
epoch   41 | train 7.872568e-01 | val 7.682693e-01 |  69.038 s | best 7.300988e-01 @12 | asym_reg 2.607427e-02 | gnorm mean 1.617e+03 max 2.194e+05
epoch   42 | train 8.269798e-01 | val 7.672330e-01 |  72.721 s | best 7.300988e-01 @12 | asym_reg 1.141406e-01 | gnorm mean 1.570e+04 max 3.177e+06
epoch   43 | train 8.045656e-01 | val 7.679286e-01 |  74.851 s | best 7.300988e-01 @12 | asym_reg 3.048094e-02 | gnorm mean 7.908e+03 max 2.879e+06
epoch   44 | train 7.770968e-01 | val 7.575788e-01 |  70.312 s | best 7.300988e-01 @12 | asym_reg 2.079002e-02 | gnorm mean 7.371e+01 max 1.720e+04
epoch   45 | train 8.152639e-01 | val 7.463010e-01 |  73.790 s | best 7.300988e-01 @12 | asym_reg 2.403694e-02 | gnorm mean 3.164e+03 max 7.667e+05
epoch   46 | train 8.056540e-01 | val 7.500950e-01 |  74.048 s | best 7.300988e-01 @12 | asym_reg 2.093428e-02 | gnorm mean 1.389e+03 max 5.429e+05
epoch   47 | train 7.793199e-01 | val 7.390327e-01 |  74.419 s | best 7.300988e-01 @12 | asym_reg 2.256658e-02 | gnorm mean 1.531e+02 max 2.880e+04
epoch   48 | train 7.849950e-01 | val 7.354797e-01 |  67.436 s | best 7.300988e-01 @12 | asym_reg 2.227949e-02 | gnorm mean 2.437e+02 max 4.169e+04
epoch   49 | train 8.246466e-01 | val 7.469763e-01 |  71.622 s | best 7.300988e-01 @12 | asym_reg 4.475286e-02 | gnorm mean 5.095e+03 max 1.078e+06
epoch   50 | train 8.407218e-01 | val 7.884728e-01 |  73.946 s | best 7.300988e-01 @12 | asym_reg 3.232625e-02 | gnorm mean 1.626e+04 max 4.460e+06
epoch   51 | train 8.359396e-01 | val 7.913483e-01 |  69.372 s | best 7.300988e-01 @12 | asym_reg 2.491580e-02 | gnorm mean 3.178e+03 max 1.001e+06
epoch   52 | train 8.169615e-01 | val 7.895038e-01 |  74.887 s | best 7.300988e-01 @12 | asym_reg 2.234344e-02 | gnorm mean 1.654e+03 max 3.602e+05
epoch   53 | train 9.183921e-01 | val 8.082752e-01 |  68.123 s | best 7.300988e-01 @12 | asym_reg 7.417818e-02 | gnorm mean 3.609e+04 max 6.696e+06
epoch   54 | train 9.525260e-01 | val 8.726977e-01 |  72.329 s | best 7.300988e-01 @12 | asym_reg 1.980080e-01 | gnorm mean 6.574e+04 max 2.133e+07
epoch   55 | train 8.969809e-01 | val 8.663970e-01 |  73.879 s | best 7.300988e-01 @12 | asym_reg 2.876806e-02 | gnorm mean 2.090e+04 max 3.836e+06
epoch   56 | train 8.708247e-01 | val 8.486906e-01 |  55.019 s | best 7.300988e-01 @12 | asym_reg 8.038500e-02 | gnorm mean 1.527e+05 max 5.188e+07
epoch   57 | train 8.918745e-01 | val 8.504346e-01 |  42.480 s | best 7.300988e-01 @12 | asym_reg 1.639291e-01 | gnorm mean 1.254e+05 max 4.340e+07
epoch   58 | train 8.773025e-01 | val 8.547301e-01 |  63.423 s | best 7.300988e-01 @12 | asym_reg 3.317503e-02 | gnorm mean 2.262e+04 max 7.551e+06
epoch   59 | train 8.866280e-01 | val 8.460242e-01 |  71.157 s | best 7.300988e-01 @12 | asym_reg 2.130221e-02 | gnorm mean 1.170e+04 max 4.383e+06
epoch   60 | train 8.578659e-01 | val 8.373044e-01 |  72.746 s | best 7.300988e-01 @12 | asym_reg 8.328976e-02 | gnorm mean 1.751e+05 max 6.463e+07
epoch   61 | train 8.635046e-01 | val 8.289734e-01 |  72.907 s | best 7.300988e-01 @12 | asym_reg 1.891160e-01 | gnorm mean 6.290e+04 max 1.591e+07
epoch   62 | train 8.755544e-01 | val 8.315846e-01 |  71.578 s | best 7.300988e-01 @12 | asym_reg 5.904400e-02 | gnorm mean 1.384e+05 max 3.807e+07
epoch   63 | train 9.065274e-01 | val 8.284783e-01 |  72.511 s | best 7.300988e-01 @12 | asym_reg 1.718315e-01 | gnorm mean 7.822e+05 max 3.278e+08
epoch   64 | train 8.881920e-01 | val 8.369267e-01 |  73.407 s | best 7.300988e-01 @12 | asym_reg 2.317318e-01 | gnorm mean 4.375e+05 max 2.030e+08
epoch   65 | train 8.621771e-01 | val 8.352926e-01 |  71.030 s | best 7.300988e-01 @12 | asym_reg 1.021736e+00 | gnorm mean 2.157e+06 max 5.424e+08
epoch   66 | train 8.677475e-01 | val 8.399379e-01 |  69.010 s | best 7.300988e-01 @12 | asym_reg 3.439099e-01 | gnorm mean 2.532e+06 max 6.482e+08
epoch   67 | train 9.009786e-01 | val 8.506113e-01 |  44.258 s | best 7.300988e-01 @12 | asym_reg 3.334083e+00 | gnorm mean 2.231e+07 max 1.039e+10
epoch   68 | train 8.997240e-01 | val 8.641593e-01 |  71.831 s | best 7.300988e-01 @12 | asym_reg 6.258546e-02 | gnorm mean 1.562e+05 max 3.318e+07
epoch   69 | train 8.935616e-01 | val 8.847575e-01 |  74.253 s | best 7.300988e-01 @12 | asym_reg 4.692129e-01 | gnorm mean 1.504e+05 max 5.977e+07
epoch   70 | train 9.075627e-01 | val 8.911927e-01 |  74.321 s | best 7.300988e-01 @12 | asym_reg 1.093786e+00 | gnorm mean 9.874e+05 max 3.407e+08
epoch   71 | train 8.899416e-01 | val 8.838906e-01 |  71.084 s | best 7.300988e-01 @12 | asym_reg 1.738328e+00 | gnorm mean 2.498e+06 max 7.381e+08
epoch   72 | train 8.915003e-01 | val 8.785945e-01 |  74.623 s | best 7.300988e-01 @12 | asym_reg 5.095662e-01 | gnorm mean 9.970e+05 max 2.398e+08
epoch   73 | train 8.971155e-01 | val 8.744106e-01 |  73.662 s | best 7.300988e-01 @12 | asym_reg 4.775978e+00 | gnorm mean 8.949e+06 max 3.869e+09
epoch   74 | train 8.821142e-01 | val 8.594301e-01 |  73.288 s | best 7.300988e-01 @12 | asym_reg 1.555865e-01 | gnorm mean 1.624e+06 max 7.886e+08
epoch   75 | train 8.848181e-01 | val 8.568332e-01 |  73.140 s | best 7.300988e-01 @12 | asym_reg 6.101147e-02 | gnorm mean 1.920e+05 max 8.483e+07
epoch   76 | train 8.940039e-01 | val 8.570443e-01 |  72.492 s | best 7.300988e-01 @12 | asym_reg 3.862557e-02 | gnorm mean 1.230e+05 max 6.012e+07
epoch   77 | train 8.676434e-01 | val 8.450434e-01 |  73.641 s | best 7.300988e-01 @12 | asym_reg 2.901854e-02 | gnorm mean 2.446e+04 max 1.171e+07
epoch   78 | train 8.684039e-01 | val 8.371061e-01 |  73.645 s | best 7.300988e-01 @12 | asym_reg 8.982933e-02 | gnorm mean 8.185e+05 max 2.166e+08
epoch   79 | train 8.625851e-01 | val 8.338749e-01 |  72.900 s | best 7.300988e-01 @12 | asym_reg 5.612791e-01 | gnorm mean 1.491e+06 max 4.717e+08
epoch   80 | train 8.755097e-01 | val 8.425521e-01 |  70.982 s | best 7.300988e-01 @12 | asym_reg 5.975171e-01 | gnorm mean 1.441e+06 max 4.492e+08
epoch   81 | train 8.790628e-01 | val 8.603642e-01 |  35.929 s | best 7.300988e-01 @12 | asym_reg 9.321858e-01 | gnorm mean 1.893e+06 max 4.576e+08
epoch   82 | train 8.963587e-01 | val 8.649378e-01 |  36.989 s | best 7.300988e-01 @12 | asym_reg 2.278440e-02 | gnorm mean 4.494e+04 max 1.184e+07
epoch   83 | train 9.127830e-01 | val 8.818709e-01 |  35.857 s | best 7.300988e-01 @12 | asym_reg 9.754038e-01 | gnorm mean 1.539e+06 max 8.559e+08
epoch   84 | train 9.295203e-01 | val 8.973227e-01 |  42.920 s | best 7.300988e-01 @12 | asym_reg 5.154224e-02 | gnorm mean 8.392e+04 max 2.845e+07
epoch   85 | train 9.122774e-01 | val 8.957603e-01 |  58.266 s | best 7.300988e-01 @12 | asym_reg 8.092180e-01 | gnorm mean 2.316e+06 max 7.405e+08
epoch   86 | train 9.104364e-01 | val 8.984362e-01 |  73.094 s | best 7.300988e-01 @12 | asym_reg 2.366023e+00 | gnorm mean 1.507e+07 max 7.041e+09
epoch   87 | train 8.990411e-01 | val 8.956024e-01 |  35.767 s | best 7.300988e-01 @12 | asym_reg 3.069739e-01 | gnorm mean 5.046e+06 max 2.555e+09
epoch   88 | train 8.931939e-01 | val 8.917765e-01 |  66.829 s | best 7.300988e-01 @12 | asym_reg 7.318077e-02 | gnorm mean 1.468e+05 max 2.860e+07
epoch   89 | train 8.923511e-01 | val 8.884358e-01 |  71.975 s | best 7.300988e-01 @12 | asym_reg 2.362021e-01 | gnorm mean 2.598e+05 max 1.057e+08
epoch   90 | train 8.950804e-01 | val 8.862163e-01 |  70.856 s | best 7.300988e-01 @12 | asym_reg 2.661021e-01 | gnorm mean 2.150e+06 max 7.285e+08
epoch   91 | train 8.997251e-01 | val 8.876904e-01 |  69.124 s | best 7.300988e-01 @12 | asym_reg 8.765456e-01 | gnorm mean 1.874e+05 max 3.781e+07
epoch   92 | train 8.958193e-01 | val 8.857164e-01 |  73.168 s | best 7.300988e-01 @12 | asym_reg 1.639258e-01 | gnorm mean 2.577e+05 max 7.961e+07
epoch   93 | train 9.005025e-01 | val 8.848941e-01 |  73.065 s | best 7.300988e-01 @12 | asym_reg 1.591946e+00 | gnorm mean 4.400e+06 max 2.409e+09
epoch   94 | train 8.947163e-01 | val 8.829055e-01 |  73.287 s | best 7.300988e-01 @12 | asym_reg 9.254523e-02 | gnorm mean 4.919e+04 max 1.453e+07
epoch   95 | train 8.880374e-01 | val 8.823554e-01 |  73.305 s | best 7.300988e-01 @12 | asym_reg 6.713502e-02 | gnorm mean 1.787e+04 max 3.725e+06
epoch   96 | train 8.843477e-01 | val 8.806176e-01 |  73.262 s | best 7.300988e-01 @12 | asym_reg 1.703226e-01 | gnorm mean 2.569e+05 max 7.173e+07
epoch   97 | train 8.849001e-01 | val 8.792303e-01 |  69.860 s | best 7.300988e-01 @12 | asym_reg 6.846355e-02 | gnorm mean 2.148e+05 max 6.261e+07
